grouping,group,n,rmse,mae,r2,flag
Aquifer_Type_Label,-,629,1.9136268062090396,1.2709455947769988,0.712304894496151,
Aquifer_Type_Label,Confined,23,1.3666814801045066,1.0909567669292686,0.8651094069558265,
Aquifer_Type_Label,Semi-confined,123,4.915546270050906,3.2135376275793757,0.7554942578336187,
Aquifer_Type_Label,Unconfined,1187,1.8983198665417258,1.3024928266302322,0.7953155243724739,
Well_Type_Label,Bore well,311,4.131788674199661,2.8921899123646013,0.752581921257305,
Well_Type_Label,Dug well,1612,1.588712539127585,1.1186232270539416,0.7352448026688925,
Well_Type_Label,Tube well,39,2.3633942520109765,1.6192100871822959,0.9251088725558065,
