grouping,group,n,rmse,mae,r2,flag
period_type,Drought,764,2.1616883837180554,1.3465822143604846,0.8408854393212172,
period_type,Normal,1198,2.242728650997578,1.4499600053297528,0.8536247404849509,
drought_episode,2009,2,1.100751083888908,1.0711705362988375,-24.03417242857741,LOW CONFIDENCE (small group)
drought_episode,2015-2016,762,2.1637886443659258,1.3473050796572346,0.8407950384611123,
drought_episode,Normal,1198,2.242728650997578,1.4499600053297528,0.8536247404849509,
